time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,1,1,3,1
2026-04-15 00:00:00+00:00,27,9,1,1
2026-04-16 00:00:00+00:00,16,7,6,2
2026-04-17 00:00:00+00:00,30,9,0,0
2026-04-18 00:00:00+00:00,11,6,0,0
2026-04-19 00:00:00+00:00,28,12,0,0
2026-04-20 00:00:00+00:00,31,10,0,0
2026-04-21 00:00:00+00:00,15,6,0,0
2026-04-22 00:00:00+00:00,49,12,0,0
2026-04-23 00:00:00+00:00,72,20,0,0
2026-04-24 00:00:00+00:00,40,14,4,2
2026-04-25 00:00:00+00:00,52,20,0,0
2026-04-26 00:00:00+00:00,31,10,0,0
2026-04-27 00:00:00+00:00,29,10,0,0
